technique,context_length,model,cache_size,rerank,cite,rag_nq,rag_hotpotqa,niah,recall_jsonkv,summ_multilex,icl_clinic,icl_banking
pyramidkv,16k,Yarn-Qwen3-8B,w8192_c16384_k7_avgpool,,,,,28.585047552,,,,
pyramidkv,16k,Yarn-Qwen3-8B,w2048_c8192_k7_avgpool,35.431793152,35.319670784,36.427379712,35.530609152,33.33513984,34.5699072,33.63622144,34.02852608,33.817558016
pyramidkv,16k,Yarn-Qwen3-8B,w4096_c32768_k7_avgpool,,,,,28.585047552,,,,
pyramidkv,16k,Yarn-Qwen3-8B,w2048_c32768_k7_avgpool,,,,,28.585047552,,,,
pyramidkv,16k,Yarn-Qwen3-8B,w4096_c8192_k7_avgpool,,,,,42.53447936,,,,
pyramidkv,16k,Yarn-Qwen3-8B,w256_c2048_k7_avgpool,22.416058368,22.385391104,22.777588736,22.444242944,21.706121728,22.12023808,21.810929664,21.98458624,21.925023232
pyramidkv,16k,Yarn-Qwen3-8B,w4096_c16384_k7_avgpool,,,,,28.585047552,,,,
pyramidkv,32k,DeepSeek-R1-Distill-Qwen-7B,w2048_c8192_k7_avgpool,40.81836288,41.545910272,42.649897472,41.545599488,15.384692224,39.432432128,38.811890688,38.553396224,38.251680768
pyramidkv,32k,DeepSeek-R1-Distill-Qwen-7B,w256_c2048_k7_avgpool,23.337317888,23.568185856,23.98627328,23.547395584,15.384692224,22.880066048,22.672419328,22.714510336,22.626539008
pyramidkv,32k,Qwen3-8B-thinking,w2048_c8192_k7_avgpool,49.411976704,50.34539008,51.711878656,50.344562176,36.161867264,47.645708288,46.8840192,46.51177984,46.106768384
pyramidkv,32k,Qwen3-8B-thinking,w256_c2048_k7_avgpool,27.140749824,27.443889664,27.96557568,27.426860544,36.161867264,26.535871488,26.27433984,26.269805568,26.1423744
pyramidkv,32k,Qwen2.5-7B-Instruct,w2048_c8192_k7_avgpool,40.817621504,41.550555136,42.650952192,41.544997376,28.6951552,39.428276736,38.817547264,38.553066496,38.249730048
pyramidkv,32k,Qwen2.5-7B-Instruct,w32_c2048_k5_avgpool,23.339517952,23.311398912,23.458988544,23.329086464,22.620013056,22.881447936,,,
pyramidkv,32k,Qwen2.5-7B-Instruct,w32_c4096_k5_avgpool,24.156408832,24.127471616,24.278701056,24.14826752,,23.700273664,,,
pyramidkv,32k,Qwen2.5-7B-Instruct,w32_c64_k5_avgpool,22.535382016,22.505114624,22.650374144,22.521628672,21.81863424,22.079179776,,,
pyramidkv,32k,Qwen2.5-7B-Instruct,w256_c2048_k7_avgpool,23.337008128,23.57042944,23.984870912,23.54669312,28.6951552,22.882188288,22.675965952,22.71809024,22.630631936
pyramidkv,32k,Llama-3.1-8B-Instruct,w2048_c8192_k7_avgpool,45.967657472,47.043998208,47.466398208,46.67357184,33.673804288,39.545083904,44.686291968,43.10385152,43.668608
pyramidkv,32k,Llama-3.1-8B-Instruct,w32_c2048_k5_avgpool,25.487737856,25.812946944,26.035768832,25.741673472,25.225775104,23.383420416,,,
pyramidkv,32k,Llama-3.1-8B-Instruct,w32_c4096_k5_avgpool,26.555276288,26.904095744,27.102452736,26.804033536,,24.449870848,,,
pyramidkv,32k,Llama-3.1-8B-Instruct,w32_c64_k5_avgpool,24.43534592,24.76267264,24.984487424,24.685908992,24.174179328,22.332599296,,,
pyramidkv,32k,Llama-3.1-8B-Instruct,w256_c2048_k7_avgpool,25.48913408,25.819552256,26.042229248,25.740521472,33.673804288,23.384364032,25.06340608,24.665242112,24.858156032
pyramidkv,32k,Yarn-Qwen3-8B-thinking,w2048_c8192_k7_avgpool,49.41742848,50.34568704,51.71204352,50.345866752,36.161867264,47.6446464,46.88334336,46.512582656,46.107925504
pyramidkv,32k,Yarn-Qwen3-8B-thinking,w256_c2048_k7_avgpool,27.143274496,27.443011584,27.963089408,27.426860544,36.161867264,26.535871488,26.270170112,26.27036416,26.138942976
pyramidkv,32k,Qwen3-8B-nothinking,w2048_c8192_k7_avgpool,49.411976704,50.34582016,51.711033856,50.344562176,36.161867264,47.645708288,46.8840192,46.51177984,46.106768384
pyramidkv,32k,Qwen3-8B-nothinking,w256_c2048_k7_avgpool,27.140749824,27.443889664,27.96557568,27.426860544,36.161867264,26.535871488,26.27433984,26.269805568,26.1423744
pyramidkv,32k,Yarn-Qwen3-8B-nothinking,w2048_c8192_k7_avgpool,49.41742848,50.34568704,51.71204352,50.345866752,36.161867264,47.6446464,46.88334336,46.512582656,46.107925504
pyramidkv,32k,Yarn-Qwen3-8B-nothinking,w256_c2048_k7_avgpool,27.143274496,27.443011584,27.963089408,27.426860544,36.161867264,26.535871488,26.270170112,26.27036416,26.138942976
pyramidkv,32k,DeepSeek-R1-Distill-Llama-8B,w2048_c8192_k7_avgpool,45.963815424,47.014425088,47.467511296,46.674243584,33.673804288,39.545083904,44.65957888,43.10385152,43.668608
pyramidkv,32k,DeepSeek-R1-Distill-Llama-8B,w256_c2048_k7_avgpool,25.490631168,25.812363264,26.038490112,25.740258304,33.673804288,23.384364032,25.051780608,24.66898944,24.856579072
pyramidkv,32k,Qwen3-8B,w2048_c8192_k7_avgpool,49.411976704,50.34539008,51.711878656,50.344562176,36.161867264,47.645708288,46.8840192,46.51177984,46.106768384
pyramidkv,32k,Qwen3-8B,w256_c2048_k7_avgpool,27.140749824,27.443889664,27.96557568,27.426860544,36.161867264,26.535871488,26.27433984,26.269805568,26.1423744
pyramidkv,32k,Yarn-Qwen3-8B,w2048_c8192_k7_avgpool,49.41742848,50.34568704,51.71204352,50.345866752,36.161867264,47.6446464,46.88334336,46.512582656,46.107925504
pyramidkv,32k,Yarn-Qwen3-8B,w256_c2048_k7_avgpool,27.143274496,27.443011584,27.963089408,27.426860544,36.161867264,26.535871488,26.270170112,26.27036416,26.138942976
baseline,16k,DeepSeek-R1-Distill-Qwen-7B,default,18.554817024,18.518697984,18.81495296,18.562274816,18.06967296,18.354814976,18.131184128,,
INT4,16k,DeepSeek-R1-Distill-Qwen-7B,default,8.87803904,8.843116544,9.1382144,8.887145472,8.390606848,8.676531712,8.456393216,,
INT8,16k,DeepSeek-R1-Distill-Qwen-7B,default,14.62423296,14.683750912,14.87250944,14.562848768,14.07636992,13.349286912,14.11973376,,
baseline,16k,Qwen3-8B-thinking,default,,,,,,,20.06099968,,
baseline,16k,Qwen2.5-7B-Instruct,default,18.504791552,18.48198656,18.570323968,18.505798144,18.069693952,18.354752,18.184910336,18.283472384,18.283472384
INT4,16k,Qwen2.5-7B-Instruct,default,8.830284288,8.803631616,8.892023808,8.82677248,8.390487552,8.676333568,8.508056064,8.609759744,8.609759744
INT8,16k,Qwen2.5-7B-Instruct,default,14.349236736,14.66103296,14.594491904,14.67243008,13.8258304,13.482550272,14.161665024,13.804186624,13.804186624
baseline,16k,Llama-3.1-8B-Instruct,default,19.895273472,19.9746944,19.96530432,19.99042048,19.587470336,18.93302528,19.62487808,19.536327168,19.628162048
INT4,16k,Llama-3.1-8B-Instruct,default,9.537833984,9.616484864,9.610356224,9.633304576,9.229981696,8.575768576,9.266861056,9.181339136,9.272786944
INT8,16k,Llama-3.1-8B-Instruct,default,13.899613696,13.999762944,13.973842944,14.013099008,13.520598016,12.678836736,13.569934336,13.426722816,13.53643264
baseline,16k,Qwen3-8B-nothinking,default,,,,,,,20.06099968,,
INT4,16k,Qwen3-8B-nothinking,default,,,,,,,9.75702528,,
INT8,16k,Qwen3-8B-nothinking,default,,,,,,,15.246671872,,
baseline,16k,Yarn-Qwen3-8B-nothinking,default,,,,,,,20.06099968,,
INT4,16k,Yarn-Qwen3-8B-nothinking,default,,,,,,,9.75702528,,
INT8,16k,Yarn-Qwen3-8B-nothinking,default,,,,,,,15.259104768,,
baseline,16k,DeepSeek-R1-Distill-Llama-8B,default,19.895268864,19.963512832,19.965299712,19.990415872,19.587465728,18.933020672,19.538571264,19.53632256,19.62815744
INT4,16k,DeepSeek-R1-Distill-Llama-8B,default,9.537829376,9.608137728,9.609924608,9.633013248,9.229977088,8.575763968,9.18319616,9.180947456,9.272782336
INT8,16k,DeepSeek-R1-Distill-Llama-8B,default,13.8961408,13.987766272,13.971582976,14.011344896,13.51118336,12.678019584,13.464169984,13.42350848,13.537240064
baseline,16k,Qwen3-8B,default,20.592882688,20.554595328,20.912761344,20.607847936,19.97323264,20.3389184,,20.227209728,20.173604352
INT4,16k,Qwen3-8B,default,10.287899648,10.249402368,10.608786944,10.303209472,9.668197376,10.032881152,9.75702528,9.92275456,9.869629952
INT8,16k,Qwen3-8B,default,15.826249216,15.864392192,16.227954176,15.893371904,15.079507456,14.507098112,15.246671872,15.239863296,14.872244224
baseline,16k,Yarn-Qwen3-8B,default,20.592882688,20.554595328,20.912761344,20.607847936,19.975108608,20.3389184,,20.227209728,20.173604352
INT4,16k,Yarn-Qwen3-8B,default,10.287899648,10.249402368,10.608786944,10.303209472,9.668176896,10.032881152,9.75702528,9.92275456,9.869629952
