technique,context_length,model,cache_size,niah,rag_hotpotqa,rag_nq,cite_str_em,cite_citation_rec,cite_citation_prec,recall_jsonkv,rerank,summ_multilex,icl_clinic,icl_banking
streamingllm,32k,Yarn-Qwen3-8B-thinking,n_local_2044_n_init_4,0.0,0.33333333333333337,0.0,0.8333333333333334,0.4166666666666667,1.1176470588235294,0.0,0.0,0.0,0.0,0.2
streamingllm,32k,Qwen3-8B-nothinking,n_local_4092_n_init_4,0.0,0.33333333333333337,0.33333333333333337,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.4
streamingllm,32k,Qwen3-8B-nothinking,n_local_2044_n_init_4,0.0,0.0,0.0,1.5,2.076923076923077,2.1333333333333333,0.0,0.0,0.0,0.0,0.0
streamingllm,32k,Yarn-Qwen3-8B-nothinking,n_local_4092_n_init_4,0.0,0.33333333333333337,0.0,1.25,1.3333333333333333,1.2,0.0,0.0,0.0,0.2,0.2
streamingllm,32k,Yarn-Qwen3-8B-nothinking,n_local_2044_n_init_4,0.0,0.33333333333333337,0.0,0.8333333333333334,0.4166666666666667,1.1176470588235294,0.0,0.0,0.0,0.0,0.2
streamingllm,32k,DeepSeek-R1-Distill-Llama-8B,n_local_4092_n_init_4,100.0,40.33333333333333,33.166666666666664,7.283333333333333,0.0,0.0,14.000000000000002,1.602260162601626,0.1747964334792989,78.2,75.6
streamingllm,32k,DeepSeek-R1-Distill-Llama-8B,n_local_2044_n_init_4,100.0,37.0,31.666666666666664,8.1,0.21634615384615385,1.3333333333333333,14.000000000000002,0.8529268292682928,0.13568580643164158,51.6,56.39999999999999
streamingllm,32k,Qwen3-8B,n_local_4092_n_init_4,0.0,0.33333333333333337,0.33333333333333337,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.4
streamingllm,32k,Qwen3-8B,n_local_2044_n_init_4,0.0,0.0,0.0,1.5,2.076923076923077,2.1333333333333333,0.0,0.0,0.0,0.0,0.0
streamingllm,32k,Yarn-Qwen3-8B,n_local_4092_n_init_4,0.0,0.33333333333333337,0.0,1.25,1.3333333333333333,1.2,0.0,0.0,0.0,0.2,0.2
streamingllm,32k,Yarn-Qwen3-8B,n_local_2044_n_init_4,0.0,0.33333333333333337,0.0,0.8333333333333334,0.4166666666666667,1.1176470588235294,0.0,0.0,0.0,0.0,0.2
pyramidkv,16k,DeepSeek-R1-Distill-Qwen-7B,w2048_c8192_k7_avgpool,21.0,33.33333333333333,31.166666666666664,11.516666666666667,0.0,0.0,7.000000000000001,0.0,,,
pyramidkv,16k,DeepSeek-R1-Distill-Qwen-7B,w256_c2048_k7_avgpool,6.0,28.000000000000004,30.5,8.133333333333333,0.0,0.0,8.0,0.0,,,
pyramidkv,16k,Qwen2.5-7B-Instruct,w2048_c8192_k7_avgpool,61.0,64.0,61.83333333333333,31.95,33.398809523809526,30.137179487179488,19.0,41.962512195121946,,77.8,80.2
pyramidkv,16k,Qwen2.5-7B-Instruct,w32_c2048_k5_avgpool,92.0,64.66666666666666,59.333333333333336,25.63333333333333,14.816666666666666,16.775,30.0,0.0,,,
pyramidkv,16k,Qwen2.5-7B-Instruct,w32_c4096_k5_avgpool,,64.33333333333333,62.66666666666667,30.233333333333334,24.958333333333332,26.33910256410256,57.99999999999999,0.0,,,
pyramidkv,16k,Qwen2.5-7B-Instruct,w32_c64_k5_avgpool,0.0,52.666666666666664,47.66666666666667,9.35,0.0,0.0,0.0,0.0,,,
pyramidkv,16k,Qwen2.5-7B-Instruct,w256_c2048_k7_avgpool,66.0,59.66666666666667,55.833333333333336,24.933333333333334,15.233333333333333,18.816666666666666,15.0,14.455560975609757,,78.60000000000001,75.0
pyramidkv,16k,Llama-3.1-8B-Instruct,w2048_c8192_k7_avgpool,100.0,64.33333333333333,64.0,42.11666666666667,29.445454545454545,26.826139546727777,75.0,45.91382926829268,,88.2,80.80000000000001
pyramidkv,16k,Llama-3.1-8B-Instruct,w32_c2048_k5_avgpool,100.0,64.0,65.16666666666666,32.63333333333334,11.30880230880231,11.762162728339197,67.0,1.6714878048780488,,,
pyramidkv,16k,Llama-3.1-8B-Instruct,w32_c4096_k5_avgpool,,64.66666666666666,68.0,37.81666666666666,24.350108225108226,22.89678362573099,96.0,13.194373983739835,,,
pyramidkv,16k,Llama-3.1-8B-Instruct,w32_c64_k5_avgpool,33.0,57.333333333333336,57.99999999999999,6.333333333333332,0.0,0.0,0.0,0.0,,,
pyramidkv,16k,Llama-3.1-8B-Instruct,w256_c2048_k7_avgpool,98.0,61.33333333333333,64.5,36.95,4.614296814296814,6.577020202020202,32.0,12.387504065040648,,80.4,72.39999999999999
